"screenName","Repeated"
"PurdueCHM261262",9
"RissaChem",9
"Sami_aliii",9
"Sherrod_Small",9
"Skatch_miniVan",9
"Sungmanitu58",9
"TeamEricole",9
"whereshumanity1",9
"_sorche_",8
"1stPIayer",8
"AboudDandachi",8
"AdwasAdwas",8
"Annndre_",8
"ArDhikaFC",8
"B_Yu18",8
"beachvetlbc",8
"BeaMagnan",8
"bellamysdamon",8
"BigBBfan1",8
"blazaruk",8
"Brainman365",8
"brucerockac",8
"Chem_D",8
"Chem_X",8
"Chemical_Data",8
"Chemical_Muke",8
"chemical_psycho",8
"Clairewelshcook",8
"ComradeKalinka",8
"d_peff",8
"d0brevassa",8
"damonftcaroline",8
"dancingchat5",8
"DateMeJackDail",8
"DMitchell0307",8
"DobrevicsArmy",8
"DownsHunter",8
"Dr_JamesLogan",8
"duckyaisha",8
"DVance25",8
"EdenIsGodly",8
"EguanaTech",8
"eiyato_madao",8
"Fangirllifeph",8
"FarrisFlagg",8
"gandalynn",8
"GanjSafari",8
"GenPhonse",8
"hadi_elis",8
"Haru_chem",8
"heydebigale",8
"hopgirl_mah",8
"igotflowenergy",8
"ItsBrandoBruh",8
"IvankaKvitka",8
"JBuriak",8
"JMrizz",8
"josharellano",8
"jscover00",8
"KainYusanagi",8
"KeeslingMary",8
"kindaracist_",8
"KristinGregory7",8
"leightristjp03",8
"Lesscancer",8
"Linda_ADAO",8
"Lisa_Lefteye",8
"LOLY2K",8
"Love4klayley",8
"may_gun",8
"MerseysideSLP",8
"MikeDardisWLWT",8
"Monet1926",8
"nancykmc3",8
"Narsi_Moca",8
"niki1Kendra",8
"noooo_its_not",8
"oncegeek98",8
"OngLee1",8
"pgoeltz",8
"PoisonFrnk",8
"Purv_Eyor",8
"Rahma2701",8
"RandyS0725",8
"rblotnicky",8
"realscientists",8
"ruthhill74",8
"savvychic7",8
"Shahara95",8
"ShylanNation",8
"sickbeatmgc",8
"sLeepY_Jm",8
"smittie61984",8
"smokerinngs",8
"stephcouponsxx",8
"surfleft",8
"SyrinxDFE",8
"Tanyamalhotra97",8
"TchuTchx",8
"trmr310_bot",8
"truthglow",8
"Tvdsmallville",8
"Umair_Ramay",8
"wayne10mm",8
"ZhuzhuHernandez",8
"_Brooke22",7
"_GreyHouse",7
"_Klayleyfeels",7
"_SGBoss_",7
"1GrumpyCookie",7
"97Hurtad",7
"Ags_Chemical",7
"Always_Delena4E",7
"an_chem",7
"annie_barrow",7
"AnonymousLove6",7
"AtheistEngineer",7
"BalouchN2",7
"BeachBabe515",7
"BelugaTek",7
"bhgross144",7
"biebahsnarry",7
"BillyBeckyfans",7
"BonzaGamess",7
"C_Lebby",7
"Casey_99_",7
"ChadandAbigail",7
"chem_cannga",7
"Chemical_lwt",7
"Chemical_Noiize",7
"ConsiderThis1",7
"DanThaWildMan",7
"DegusLocke",7
"DemonTwoSix",7
"derpinarry",7
"DesolaTe_Linkii",7
"DorrieHankins",7
"DrBrianHart",7
"DylanBasescu",7
"EbookManuals",7
"EmilyWh93471072",7
"FireBug2004",7
"FlashBrownxxx",7
"FormernForever",7
"FScott925",7
"GBAN_Asbestos",7
"geminieast7745",7
"geoffrey_payne",7
"gerardwaytbh",7
"GriceChemistry",7
"hagerman_becky",7
"HeatherHastie",7
"Hevonfans",7
"HotRavenReyes",7
"hrayluvbooks",7
"HSENHRH",7
"I2I_gigawatts",7
"iamrenu081",7
"iamVictooriah_",7
"ImaBannedd",7
"ImmaJuJu",7
"investorjsw",7
"IrisAWest",7
"iSiyasah",7
"iteachphysics",7
"itscaraIe",7
"itsmepanda1",7
"Jared_Werner",7
"jeanchloethoo",7
"JeffguyJg",7
"JenaChen1",7
"jerseyattitude7",7
"JohnConroy95",7
"juleskfrazier",7
"karinclewis",7
"Karinforseason4",7
"Katie00901",7
"khchem",7
"kimmie8264",7
"Kirusamudri",7
"klnapp69",7
"LailyGabriella",7
"LindaOwino",7
"LizChristensen2",7
"LnSfan",7
"lolo8683",7
"lordhelmet832",7
"lovelycat32",7
"MariJMF",7
"MNRecovery",7
"my_chemical_mia",7
"NaphiSoc",7
"NatashaMaylie",7
"NCS_Chemistry",7
"NishiMoonshine",7
"Nk3play2",7
"OfTheSkyPpl",7
"p2pSciEngineer",7
"paint_you2",7
"presley23",7
"pxpalmtree",7
"RecruiterHouTX",7
"rhda8386",7
"RubyAnneJoSmith",7
"Sacha_Feinman",7
"sarahlouisehels",7
"SendePepe",7
"ShakiraHaap",7
"SharonVelasqu20",7
"ShelleeCastle",7
"shurleeshruthi",7
"somerhalderrrrr",7
"StelenaPam",7
"stockputout",7
"storm1975",7
"StraightEdgeCRF",7
"swarthyvillain",7
"SyriaTweetEn",7
"taeserasera",7
"TakeThatEarth",7
"TamiHoshiyama",7
"tanya0820",7
"terrancegavan",7
"TheWheltonGroup",7
"TMoore8114",7
"Turkman123",7
"vchoa",7
"waydownLo",7
"westallen_",7
"widster",7
"xKaruriex",7
"_bloodinfection",6
"_HeartlessInk_",6
"0PsycheCat0",6
"110inyourarms",6
"15_andreaflores",6
"1stClown",6
"2B_Forgotten",6
"73Rieck",6
"Aayattweets",6
"ABCLoveYR",6
"ACSChemClubs",6
"adrianabouvierk",6
"agronomeiste",6
"ahmadelissian",6
"AKidNamedZo",6
"al_7aleem",6
"AleahMcInturff",6
"AlisonRoseLevy",6
"Alljohn",6
"AnaCardflo",6
"Anisanaeni",6
"ANIUSHKA",6
"ArantzaOcejo",6
"ArmorForLove",6
"arpeeusa2",6
"ashbahget",6
"AvalancheTwitch",6
"Avouree",6
"babyberkshire",6
"BarbaraBkdv",6
"BaronianConsult",6
"BayDowning",6
"Beangelic1000",6
"BeboFan_",6
"Belaian",6
"Bella623",6
"benitawheeler",6
"Bivi_17",6
"BJD4VM",6
"bluebearsoup",6
"bosunswhistle",6
"brenda5sos1dcd9",6
"CandiceMansoor",6
"capucine_rose",6
"Cas4d_dude",6
"cassey129",6
"ChantellDawnSny",6
"Chem_Vision",6
"ChemEurJ",6
"chemical_coqui",6
"chemical_devil",6
"chemical_kxd",6
"chemicalguys",6
"Chemistry_345",6
"chiiidog",6
"chris_scxffy",6
"ChristaObserves",6
"Chuckforevver",6
"ChuckNellis",6
"ChughHaresh",6
"cocminnyasssr",6
"CoDAW_Retweet",6
"DaisyFan88",6
"daniel_lario",6
"Debbie4cat",6
"DebbieDoobee1",6
"DesmondHeadHunt",6
"dianablevins33",6
"DianaPitchers",6
"dj_tom_k",6
"DobsleySwe",6
"docfreeride",6
"drneuer",6
"dynamiteiero",6
"El_Lobo_Rayado",6
"elizabeth_turk",6
"ElodiaBriddick",6
"Engrugger",6
